root@5ef8991ff11c:/scripts# python stream_csv_to_kafka.py --csv_file_path ./csv54304.csv --kafka_topic topic1
2024-06-05 16:42:53,363 - INFO - Reading CSV file: ./csv54304.csv
2024-06-05 16:42:53,368 - INFO - <BrokerConnection node_id=bootstrap-0 host=kafka:9092 <connecting> [IPv4 ('172.19.0.6', 9092)]>: connecting to kafka:9092 [('172.19.0.6', 9092) IPv4]
2024-06-05 16:42:53,369 - INFO - Probing node bootstrap-0 broker version
2024-06-05 16:42:53,370 - INFO - <BrokerConnection node_id=bootstrap-0 host=kafka:9092 <connecting> [IPv4 ('172.19.0.6', 9092)]>: Connection complete.
2024-06-05 16:42:53,477 - INFO - Broker version identified as 2.5.0
2024-06-05 16:42:53,477 - INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2024-06-05 16:42:53,487 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/15/2024', 'Cheque Number': '', 'Description 1': 'COMPANY1', 'Description 2': '', 'CAD$': '-65.54', 'USD$': ''}
2024-06-05 16:42:53,488 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/15/2024', 'Cheque Number': '', 'Description 1': 'COMPANY2', 'Description 2': '', 'CAD$': '-4', 'USD$': ''}
2024-06-05 16:42:53,489 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/15/2024', 'Cheque Number': '', 'Description 1': 'COMPANY3', 'Description 2': '', 'CAD$': '-1.73', 'USD$': ''}
2024-06-05 16:42:53,490 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/15/2024', 'Cheque Number': '', 'Description 1': 'COMPANY4', 'Description 2': '', 'CAD$': '-20.28', 'USD$': ''}
2024-06-05 16:42:53,490 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/18/2024', 'Cheque Number': '', 'Description 1': 'COMPANY5', 'Description 2': '', 'CAD$': '-12.18', 'USD$': ''}
2024-06-05 16:42:53,490 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/19/2024', 'Cheque Number': '', 'Description 1': 'COMPANY6', 'Description 2': '', 'CAD$': '-4', 'USD$': ''}
2024-06-05 16:42:53,493 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/19/2024', 'Cheque Number': '', 'Description 1': 'COMPANY7', 'Description 2': '', 'CAD$': '-29.38', 'USD$': ''}
2024-06-05 16:42:53,493 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/20/2024', 'Cheque Number': '', 'Description 1': 'COMPANY8', 'Description 2': '', 'CAD$': '-111.87', 'USD$': ''}
2024-06-05 16:42:53,494 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/20/2024', 'Cheque Number': '', 'Description 1': 'COMPANY9', 'Description 2': '', 'CAD$': '-53.17', 'USD$': ''}
2024-06-05 16:42:53,494 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/21/2024', 'Cheque Number': '', 'Description 1': 'COMPANY10', 'Description 2': '', 'CAD$': '-20.34', 'USD$': ''}
2024-06-05 16:42:53,494 - INFO - Sent row to Kafka topic topic1: {'Account Type': 'Visa', 'Account Number': '1.23457E+14', 'Transaction Date': '4/21/2024', 'Cheque Number': '', 'Description 1': 'COMPANY11', 'Description 2': '', 'CAD$': '-34.72', 'USD$': ''}
